n t exp p1 p2 p3 p4 p22 
72.0 0.000352261 0.0006128484275287927 0.00034294771408035173 0.00042485303242937477 0.000495897814788694 0.0004291974257588787 0.00044049730504834995 
73.0 0.0003514655 0.0006144378142028825 0.0003476376353687507 0.0004291521270386298 0.000499526871037477 0.0004334646428610387 0.0004437646713671038 
74.0 0.00037183699999999997 0.0006160313228586673 0.00035232755665714967 0.0004334519633771089 0.0005031582659284424 0.0004377326720563028 0.00044703995436296874 
75.0 0.000365655 0.0006176289641862655 0.0003570174779455486 0.0004377525414448119 0.0005067919994615909 0.00044200151334467197 0.0004503231540359448 
76.0 0.0003663575 0.0006192307489035209 0.00036170739923394756 0.000442053861241739 0.0005104280716369226 0.00044627116672614725 0.00045361427038603195 
77.0 0.000373303 0.0006208366877560732 0.00036639732052234653 0.00044635592276789004 0.0005140664824544379 0.00045054163220072964 0.0004569133034132302 
78.0 0.0003772045 0.00062244679151743 0.0003710872418107455 0.00045065872602326505 0.0005177072319141374 0.00045481290976842007 0.0004602202531175395 
79.0 0.00038453900000000004 0.0006240610709890395 0.0003757771630991444 0.00045496227100786426 0.0005213503200160211 0.0004590849994292196 0.0004635351194989599 
80.0 0.000385494 0.000625679537000363 0.0003804670843875434 0.00045926655772168736 0.0005249957467600895 0.0004633579011831292 0.00046685790255749136 
81.0 0.000390475 0.0006273022004089468 0.00038515700567594237 0.0004635715861647344 0.0005286435121463431 0.00046763161503014984 0.00047018860229313395 
82.0 0.00039644400000000003 0.0006289290721004965 0.0003898469269643413 0.00046787735633700554 0.0005322936161747822 0.0004719061409702826 0.0004735272187058877 
83.0 0.0003998155 0.0006305601629889486 0.00039453684825274026 0.00047218386823850067 0.0005359460588454071 0.00047618147900352836 0.00047687375179575244 
84.0 0.00040454099999999996 0.000632195484016544 0.00039922676954113923 0.00047649112186921985 0.0005396008401582182 0.0004804576291298882 0.0004802282015627284 
85.0 0.000408906 0.0006338350461539024 0.0004039166908295382 0.0004807991172291629 0.0005432579601132158 0.0004847345913493631 0.0004835905680068153 
86.0 0.0004133345 0.0006354788604000945 0.0004086066121179371 0.00048510785431833014 0.0005469174187104004 0.000489012365661954 0.0004869608511280133 
87.0 0.0004179765 0.0006371269377827168 0.0004132965334063361 0.0004894173331367212 0.0005505792159497723 0.000493290952067662 0.0004903390509263224 
88.0 0.0004237265 0.000638779289357965 0.00041798645469473506 0.0004937275536843365 0.000554243351831332 0.000497570350566488 0.0004937251674017426 
89.0 0.0004286445 0.0006404359262107088 0.00042267637598313403 0.0004980385159611755 0.0005579098263550796 0.0005018505611584331 0.0004971192005542739 
90.0 0.000431553 0.0006420968594545654 0.00042736629727153295 0.0005023502199672387 0.0005615786395210156 0.0005061315838434982 0.0005005211503839164 
91.0 0.0004372675 0.0006437621002319747 0.0004320562185599319 0.0005066626657025259 0.0005652497913291403 0.0005104134186216842 0.0005039310168906698 
92.0 0.00044334400000000003 0.000645431659714274 0.0004367461398483309 0.0005109758531670371 0.0005689232817794543 0.0005146960654929924 0.0005073488000745344 
93.0 0.000446458 0.0006471055491017727 0.0004414360611367298 0.0005152897823607722 0.0005725991108719577 0.0005189795244574236 0.0005107744999355101 
94.0 0.0004506515 0.0006487837796238274 0.0004461259824251288 0.0005196044532837316 0.000576277278606651 0.0005232637955149788 0.0005142081164735969 
95.0 0.00045444 0.0006504663625389177 0.00045081590371352776 0.0005239198659359147 0.0005799577849835345 0.000527548878665659 0.0005176496496887946 
96.0 0.0004615725 0.000652153309134721 0.00045550582500192673 0.0005282360203173221 0.0005836406300026085 0.0005318347739094653 0.0005210990995811037 
97.0 0.00046592499999999995 0.0006538446307281892 0.00046019574629032565 0.0005325529164279532 0.0005873258136638737 0.0005361214812463986 0.0005245564661505237 
98.0 0.0004695 0.0006555403386656235 0.0004648856675787246 0.0005368705542678085 0.0005910133359673302 0.0005404090006764598 0.0005280217493970548 
99.0 0.00047854449999999997 0.0006572404443227515 0.0004695755888671236 0.0005411889338368877 0.0005947031969129782 0.0005446973321996502 0.0005314949493206971 
100.0 0.00047782950000000004 0.0006589449591048025 0.00047426551015552256 0.000545508055135191 0.0005983953965008184 0.0005489864758159706 0.0005349760659214503 
101.0 0.00048293150000000004 0.0006606538944465851 0.0004789554314439215 0.0005498279181627183 0.0006020899347308511 0.000553276431525422 0.0005384650991993147 
102.0 0.00048946 0.0006623672618125638 0.00048364535273232045 0.0005541485229194695 0.0006057868116030765 0.0005575671993280053 0.0005419620491542902 
103.0 0.000491365 0.0006640850726969343 0.0004883352740207194 0.0005584698694054449 0.0006094860271174951 0.0005618587792237217 0.0005454669157863768 
104.0 0.000498018 0.0006658073386237031 0.0004930251953091184 0.000562791957620644 0.0006131875812741073 0.0005661511712125723 0.0005489796990955744 
105.0 0.0005023919999999999 0.0006675340711467626 0.0004977151165975174 0.0005671147875650675 0.0006168914740729132 0.0005704443752945577 0.0005525003990818832 
106.0 0.000505914 0.0006692652818499702 0.0005024050378859162 0.0005714383592387148 0.0006205977055139134 0.0005747383914696792 0.000556029015745303 
