n t exp p1 p2 p3 p4 p22 p32 
72.0 0.0008948545 0.0026443293016479466 0.009906223648544784 0.0009170192045255212 0.00104610006687798 0.0011138154883171653 0.0014409516151207373 0.0014864699353651792 
73.0 0.000910226 0.002658543439461489 0.010043810082804566 0.0009426688470507536 0.0010693815674372763 0.0011369717784734195 0.0014621115125350382 0.0015053047131184988 
74.0 0.000972731 0.0026728339829305814 0.010181396517064345 0.0009686722777487437 0.001092988915909696 0.0011604524138204705 0.001483543063812395 0.0015243518762403636 
75.0 0.000979613 0.002687201342760697 0.010318982951324124 0.0009950294966194913 0.00111692224083515 0.0011842575290022532 0.0015052462689528082 0.00154361433411923 
76.0 0.0009806525 0.0027016459318649866 0.010456569385583904 0.0010217405036629964 0.0011411816707535495 0.001208387258662704 0.0015272211279562776 0.0015630949961435534 
77.0 0.0010031755 0.0027161681653761426 0.010594155819843683 0.0010488052988792593 0.0011657673342048063 0.0012328417374457585 0.0015494676408228027 0.0015827967717017902 
78.0 0.001031201 0.002730768460658335 0.010731742254103465 0.0010762238822682798 0.0011906793597288308 0.001257621099995352 0.0015719858075523843 0.0016027225701823963 
79.0 0.0010549335 0.0027454472373192 0.010869328688363242 0.0011039962538300576 0.0012159178758655346 0.0012827254809554206 0.0015947756281450216 0.0016228753009738276 
80.0 0.001078615 0.002760204917221905 0.011006915122623024 0.001132122413564593 0.0012414830111548288 0.0013081550149698998 0.0016178371026007153 0.0016432578734645405 
81.0 0.001106568 0.0027750419244972698 0.011144501556882803 0.0011606023614718864 0.0012673748941366245 0.0013339098366827254 0.0016411702309194647 0.0016638731970429906 
82.0 0.001144958 0.002789958685555955 0.011282087991142584 0.001189436097551937 0.001293593653350833 0.0013599900807378322 0.0016647750131012704 0.001684724181097634 
83.0 0.0011653275 0.002804955629100719 0.011419674425402362 0.0012186236218047453 0.0013201394173373653 0.001386395881779157 0.0016886514491461324 0.0017058137350169265 
84.0 0.0011891955 0.0028200331861387407 0.011557260859662142 0.001248164934230311 0.001347012314636133 0.001413127374450635 0.0017127995390540506 0.0017271447681893246 
85.0 0.0012158005000000001 0.002835191789994001 0.011694847293921923 0.0012780600348286345 0.0013742124737870474 0.001440184693396202 0.0017372192828250244 0.0017487201900032838 
86.0 0.0012489975 0.0028504318763197417 0.011832433728181702 0.0013083089235997154 0.001401740023330019 0.0014675679732597934 0.0017619106804590548 0.00177054290984726 
87.0 0.0012795505000000001 0.0028657538831109806 0.011970020162441482 0.0013389116005435538 0.0014295950918049591 0.0014952773486853453 0.001786873731956141 0.0017926158371097092 
88.0 0.0013031289999999999 0.002881158250717106 0.012107606596701261 0.0013698680656601498 0.0014577778077517793 0.0015233129543167927 0.001812108437316283 0.001814941881179088 
89.0 0.001331954 0.0028966454218545268 0.012245193030961042 0.0014011783189495034 0.0014862882997103912 0.001551674924798072 0.0018376147965394817 0.001837523951443852 
90.0 0.001361008 0.0029122158416193976 0.012382779465220822 0.0014328423604116148 0.001515126696220705 0.001580363394773118 0.0018633928096257364 0.001860364957292457 
91.0 0.0013868715 0.0029278699575004123 0.0125203658994806 0.0014648601900464834 0.001544293125822632 0.0016093784988858676 0.0018894424765750469 0.0018834678081133594 
92.0 0.0014158685 0.002943608219391662 0.012657952333740381 0.00149723180785411 0.001573787717056084 0.0016387203717802552 0.0019157637973874135 0.0019068354132950147 
93.0 0.001452197 0.0029594310796055667 0.01279553876800016 0.001529957213834494 0.001603610598460972 0.0016683891481002174 0.001942356772062836 0.0019304706822258794 
94.0 0.0014795465000000002 0.002975338992885875 0.012933125202259942 0.0015630364079876353 0.001633761898577207 0.0016983849624896893 0.0019692214006013153 0.001954376524294409 
95.0 0.0015127135000000001 0.0029913324164207314 0.01307071163651972 0.0015964693903135344 0.0016642417459447007 0.0017287079495926067 0.00199635768300285 0.00197855584888906 
96.0 0.001551277 0.0030074118098558163 0.013208298070779499 0.001630256160812191 0.0016950502691033638 0.0017593582440529056 0.0020237656192674414 0.0020030115653982875 
97.0 0.0015777885 0.003023577635307558 0.01334588450503928 0.0016643967194836054 0.0017261875965931073 0.0017903359805145212 0.0020514452093950888 0.002027746583210549 
98.0 0.001609824 0.0030398303573764096 0.013483470939299058 0.0016988910663277772 0.0017576538569538424 0.0018216412936213895 0.002079396453385792 0.002052763811714299 
99.0 0.0016835735 0.0030561704431602073 0.013621057373558839 0.0017337392013447065 0.0017894491787254813 0.001853274318017446 0.002107619351239551 0.002078066160297994 
100.0 0.001674969 0.0030725983622675902 0.013758643807818619 0.0017689411245343937 0.0018215736904479342 0.0018852351883466266 0.0021361139029563666 0.002103656538350091 
101.0 0.0017129509999999999 0.0030891145868314966 0.0138962302420784 0.0018044968358968381 0.0018540275206611124 0.0019175240392528667 0.0021648801085362383 0.002129537855259044 
102.0 0.0017445635 0.0031057195915227364 0.014033816676338177 0.0018404063354320404 0.001886810797904927 0.0019501410053801023 0.002193917967979166 0.0021557130204133104 
103.0 0.0017779504999999999 0.003122413853563629 0.014171403110597957 0.00187666962314 0.00191992365071929 0.001983086221372269 0.0022232274812851497 0.002182184943201346 
104.0 0.001812941 0.0031391978527417225 0.014308989544857738 0.0019132866990207171 0.001953366207644112 0.0020163598218733017 0.0022528086484541895 0.002208956533011606 
105.0 0.001847336 0.0031560720714235786 0.014446575979117518 0.001950257563074192 0.001987138597219304 0.0020499619415271374 0.0022826614694862854 0.0022360306992325473 
106.0 0.0018831535 0.003173036994568638 0.014584162413377297 0.0019875822153004245 0.002021240947984777 0.0020838927149777102 0.0023127859443814376 0.002263410351252626 
107.0 0.0019203360000000001 0.003190093109743159 0.014721748847637077 0.0020252606556994146 0.0020556733884804436 0.0021181522768689578 0.0023431820731396455 0.0022910983984602974 
