n t exp p1 p2 p3 p4 p32 p42 ap 
38.0 0.0010201519999999999 0.004858321602907006 0.008139919272986561 0.004788935941198544 0.002237034876839894 0.006960521482609139 0.0005787171066052205 0.00048353958471403284 0.0005024344759482021 
39.0 0.0011984585 0.004884110234008837 0.008354127670887846 0.004947122374386151 0.0023063713082372493 0.00701191490534886 0.0006095766753092385 0.000509323897749338 0.0005265270370939363 
40.0 0.001197056 0.004910035754668102 0.008568336068789135 0.005106122940459401 0.0023762445135776483 0.007063877907316448 0.0006412377912523218 0.0005357779332011444 0.0005512453790486504 
41.0 0.001279871 0.004936098891513175 0.00878254446669042 0.005265917281799777 0.0024466544928592716 0.007116410488511905 0.0006737004544344706 0.0005629016910694524 0.0005765895018123448 
42.0 0.001331818 0.004962300375029462 0.008996752864591707 0.005426486034146374 0.002517601246080389 0.0071695126489352305 0.0007069646648556848 0.0005906951713542617 0.0006025594053850192 
43.0 0.001380596 0.0049886409395798895 0.009210961262492995 0.005587810755613926 0.0025890847732393542 0.007223184388586422 0.0007410304225159644 0.0006191583740555725 0.0006291550897666736 
44.0 0.0014321605 0.0050151213234254826 0.00942516966039428 0.005749873862316948 0.0026611050743345953 0.007277425707465483 0.0007758977274153094 0.0006482912991733848 0.0006563765549573084 
45.0 0.0014937264999999999 0.005041742268746055 0.009639378058295567 0.005912658569848873 0.0027336621493646135 0.007332236605572411 0.0008115665795537198 0.0006780939467076984 0.000684223800956923 
46.0 0.001550619 0.005068504521661012 0.009853586456196854 0.006076148839965279 0.0028067559983279747 0.007387617082907207 0.0008480369789311956 0.0007085663166585135 0.0007126968277655179 
47.0 0.002271782 0.005095408832250263 0.010067794854098141 0.006240329331905277 0.0028803866212233097 0.007443567139469871 0.0008853089255477368 0.00073970840902583 0.0007417956353830929 
48.0 0.0025967004999999997 0.005122455954575241 0.010282003251999428 0.006405185357857392 0.002954554018049306 0.007500086775260403 0.0009233824194033434 0.000771520223809648 0.0009233824194033432 
49.0 0.002665699 0.0051496466467000415 0.010496211649900713 0.006570702842138019 0.0030292581888047053 0.007557175990278803 0.0009622574604980154 0.0008040017610099673 0.0009537327886388785 
50.0 0.0027032405 0.005176981670712669 0.010710420047802 0.0067368682837034705 0.003104499133488302 0.007614834784525071 0.0010019340488317528 0.0008371530206267882 0.0009847089386833938 
51.0 0.002750336 0.005204461792746389 0.010924628445703287 0.006903668721662081 0.003180276852098939 0.0076730631579992065 0.0010424121844045556 0.0008709740026601104 0.001016310869536889 
52.0 0.0027783265 0.005232087783001212 0.011138836843604574 0.007071091703492169 0.0032565913446355016 0.00773186111070121 0.0010836918672164238 0.0009054647071099341 0.0010485385811993644 
53.0 0.0027796405 0.005259860415765473 0.011353045241505861 0.007239125255705544 0.0033334426110969225 0.007791228642631083 0.0011257730972673574 0.0009406251339762593 0.0010813920736708203 
54.0 0.002770343 0.005287780469437535 0.011567253639407147 0.007407757856725778 0.0034108306514821713 0.007851165753788823 0.0011686558745573564 0.0009764552832590857 0.0011148713469512558 
55.0 0.0027217235 0.005315848726547601 0.011781462037308434 0.007576978411776083 0.0034887554657902567 0.00791167244417443 0.0012123401990864209 0.0010129551549584138 0.0011489764010406715 
56.0 0.0028064065 0.00534406597377966 0.011995670435209719 0.007746776229594058 0.003567217054020224 0.007972748713787906 0.0012568260708545507 0.001050124749074243 0.001183707235939068 
57.0 0.0028393324999999997 0.005372433001993515 0.012209878833111008 0.007917141000810113 0.0036462154161711518 0.008034394562629249 0.001302113489861746 0.0010879640656065739 0.0012190638516464437 
58.0 0.0029204720000000003 0.005400950606246968 0.012424087231012295 0.00808806277784362 0.0037257505522421516 0.00809660999069846 0.0013482024561080066 0.0011264731045554062 0.0012550462481627997 
59.0 0.0030338865 0.005429619585818097 0.01263829562891358 0.00825953195618587 0.0038058224622323656 0.008159394997995539 0.0013950929695933326 0.0011656518659207398 0.0012916544254881362 
60.0 0.0030717120000000003 0.005458440744227649 0.012852504026814867 0.008431539256952312 0.0038864311461409636 0.008222749584520486 0.001442785030317724 0.0012055003497025748 0.0013288883836224525 
61.0 0.00314583 0.005487414889261576 0.013066712424716152 0.008604075710598262 0.003967576603967147 0.008286673750273301 0.001491278638281181 0.0012460185559009117 0.0013667481225657489 
62.0 0.0032617365 0.005516542832993663 0.013280920822617441 0.00877713264170264 0.0040492588357101365 0.008351167495253983 0.0015405737934837032 0.0012872064845157495 0.0014052336423180255 
63.0 0.0033033424999999996 0.005545825391808295 0.013495129220518726 0.008950701654733691 0.004131477841369186 0.008416230819462536 0.0015906704959252906 0.001329064135547089 0.0014443449428792822 
64.0 0.0038432885 0.005575263386423335 0.013709337618420013 0.009124774620718597 0.004214233620943568 0.008481863722898953 0.0016415687456059439 0.0013715915089949297 0.0014840820242495187 
65.0 0.0038252445 0.005604857641913128 0.0139235460163213 0.00929934366474646 0.004297526174432577 0.008548066205563242 0.0016932685425256621 0.001414788604859272 0.0015244448864287356 
66.0 0.0037665825000000003 0.005634608987731628 0.014137754414222586 0.009474401154240466 0.004381355501835535 0.008614838267455398 0.001745769886684446 0.0014586554231401157 0.0015654335294169326 
67.0 0.0036099365 0.00566451825773564 0.014351962812123874 0.00964993968794097 0.004465721603151777 0.00868217990857542 0.0017990727780822953 0.0015031919638374609 0.00160704795321411 
68.0 0.0036469355 0.005694586290208195 0.01456617121002516 0.009825952085546444 0.004550624478380664 0.00875009112892331 0.00185317721671921 0.0015483982269513074 0.001649288157820267 
69.0 0.003689832 0.005724813927882047 0.014780379607926447 0.01000243137796388 0.004636064127521572 0.008818571928499068 0.0019080832025951898 0.0015942742124816554 0.0016921541432354044 
70.0 0.0023932134999999997 0.005755202017963286 0.014994588005827734 0.0101793707981245 0.0047220405505738975 0.008887622307302695 0.0019637907357102353 0.0016408199204285049 0.0017356459094595219 
71.0 0.002429518 0.005785751412155091 0.015208796403729019 0.010356763772324376 0.004808553747537052 0.00895724226533419 0.0020202998160643464 0.0016880353507918557 0.0017797634564926193 
72.0 0.0024874515 0.005816462966681593 0.015423004801630308 0.010534603912052966 0.004895603718410467 0.009027431802593551 0.0020776104436575227 0.001735920503571708 0.0018245067843346966 
73.0 0.0025044705 0.0058473375423118805 0.015637213199531593 0.010712885006275713 0.0049831904631935835 0.009098190919080783 0.0021357226184897642 0.0017844753787680616 0.0018698758929857546 
74.0 0.00263276 0.005878376004384118 0.015851421597432882 0.010891601014139598 0.005071313981885866 0.00916951961479588 0.0021946363405610713 0.0018336999763809167 0.0019158707824457925 
75.0 0.0026347684999999997 0.005909579222829806 0.01606562999533417 0.011070746058072997 0.005159974274486788 0.009241417889738847 0.0022543516098714436 0.0018835942964102734 0.0019624914527148103 
76.0 0.0026365125 0.005940948072198159 0.016279838393235456 0.011250314417253672 0.005249171340995837 0.00931388574390968 0.002314868426420882 0.0019341583388561314 0.0020097379037928085 
77.0 0.0026565545 0.005972483431680613 0.01649404679113674 0.01143030052142053 0.0053389051814125175 0.009386923177308383 0.0023761867902093847 0.001985392103718491 0.0020576101356797865 
78.0 0.0026991565 0.006004186185135478 0.016708255189038027 0.01161069894500696 0.005429175795736344 0.009460530189934953 0.002438306701236954 0.002037295590997352 0.002106108148375745 
79.0 0.0028140135000000004 0.0060360572211127 0.016922463586939315 0.011791504401575028 0.0055199831839668435 0.009534706781789389 0.0025012281595035877 0.002089868800692714 0.0021552319418806833 
80.0 0.0028383124999999997 0.006068097432878771 0.017136671984840604 0.01197271173853153 0.005611327346103556 0.009609452952871696 0.0025649511650092873 0.0021431117328045775 0.0022049815161946018 
81.0 0.0028529305 0.006100307718441759 0.01735088038274189 0.012154315932108292 0.0057032082821460335 0.00968476870318187 0.002629475717754052 0.0021970243873329427 0.0022553568713175004 
82.0 0.0029373385 0.006132688980576487 0.017565088780643175 0.012336312082590357 0.005795625992093837 0.009760654032719912 0.0026948018177378823 0.0022516067642778096 0.002306358007249379 
83.0 0.0030315705 0.006165242126849825 0.01777929717854446 0.012518695409777032 0.005888580475946541 0.009837108941485822 0.002760929464960778 0.0023068588636391777 0.0023579849239902377 
84.0 0.0030385955 0.006197968069646131 0.01799350557644575 0.012701461248661623 0.005982071733703727 0.009914133429479598 0.002827858659422739 0.002362780685417047 0.0024102376215400768 
85.0 0.0030834715 0.0062308677261928265 0.018207713974347034 0.012884605045317014 0.00607609976536499 0.009991727496701245 0.0028955894011237653 0.002419372229611418 0.0024631160998988956 
