n t exp p1 p2 p3 p4 p22 p32 
107.0 0.005094412 0.0070005292050228695 0.03171274400899313 0.004277472040037963 0.005617182196520043 0.010800724162884632 0.0050416727068849365 0.004982096571818615 
108.0 0.0051870054999999995 0.00703768896510913 0.032009124784297856 0.004357798380676172 0.00569901586769713 0.010908597451861634 0.005118352360506097 0.005052306355130659 
109.0 0.0054405485000000005 0.007075045974250316 0.032305505559602585 0.004438871943083022 0.005781418199835676 0.01101666419045737 0.005195696957787235 0.005123241553167909 
110.0 0.005320311 0.00711260127947121 0.032601886334907314 0.004520692727258514 0.005864389852517659 0.011124926169872009 0.005273706498728349 0.005194908882733248 
111.0 0.0054474615 0.00715035593335434 0.03289826711021205 0.004603260733202646 0.005947931485325054 0.01123338518130573 0.0053523809833294425 0.005267315060629559 
112.0 0.005444717 0.007188310994069491 0.03319464788551677 0.004686575960915419 0.006032043757839835 0.01134204301595871 0.005431720411590514 0.005340466803659726 
113.0 0.005539758499999999 0.0072264675254033505 0.0334910286608215 0.0047706384103968335 0.00611672732964398 0.01145090146503112 0.005511724783511562 0.005414370828626628 
114.0 0.005597288 0.007264826596789334 0.03378740943612623 0.004855448081646889 0.006201982860319466 0.011559962319723142 0.005592394099092589 0.005489033852333152 
115.0 0.0057093895 0.007303389283337559 0.03408379021143096 0.004941004974665585 0.006287811009448267 0.011669227371234948 0.005673728358333594 0.005564462591582178 
116.0 0.0057457765 0.007342156665864964 0.034380170986735695 0.005027309089452923 0.006374212436612359 0.011778698410766713 0.005755727561234577 0.00564066376317659 
117.0 0.0058492725 0.0073811298309256175 0.03467655176204042 0.005114360426008902 0.006461187801393717 0.011888377229518616 0.005838391707795536 0.005717644083919271 
118.0 0.0061325895 0.007420309870841164 0.034972932537345146 0.005202158984333521 0.006548737763374319 0.011998265618690829 0.005921720798016474 0.005795410270613103 
119.0 0.006010028 0.007459697883731437 0.035269313312649875 0.005290704764426782 0.00663686298213614 0.012108365369483532 0.006005714831897389 0.005873969040060969 
120.0 0.0060647185 0.007499294973545242 0.035565694087954604 0.005379997766288683 0.0067255641172611555 0.012218678273096896 0.0060903738094382825 0.005953327109065752 
121.0 0.0061528475 0.007539102250091292 0.03586207486325933 0.005470037989919225 0.006814841828331342 0.012329206120731103 0.006175697730639154 0.006033491194430335 
122.0 0.006220109 0.0075791208290693175 0.03615845563856406 0.005560825435318409 0.006904696774928675 0.012439950703586325 0.006261686595500003 0.006114468012957601 
123.0 0.006346965499999999 0.007619351832101336 0.03645483641386879 0.005652360102486233 0.006995129616635132 0.01255091381286274 0.006348340404020831 0.006196264281450432 
124.0 0.0063663925 0.007659796386763082 0.03675121718917352 0.005744641991422699 0.007086141013032686 0.012662097239760521 0.006435659156201635 0.00627888671671171 
125.0 0.006583679 0.0077004556266156215 0.03704759796447825 0.005837671102127806 0.007177731623703314 0.012773502775479848 0.006523642852042417 0.006362342035544321 
126.0 0.0068107045 0.00774133069123711 0.03734397873978298 0.005931447434601554 0.007269902108228992 0.012885132211220895 0.006612291491543179 0.006446636954751145 
127.0 0.0066400485 0.007782422726254746 0.03764035951508771 0.006025970988843943 0.007362653126191697 0.01299698733818384 0.006701605074703917 0.0065317781911350655 
128.0 0.0067420645 0.007823732883376868 0.037936740290392436 0.006121241764854972 0.007455985337173404 0.01310906994756886 0.006791583601524632 0.006617772461498965 
129.0 0.0068192570000000004 0.007865262320425238 0.038233121065697165 0.006217259762634644 0.0075498994007560894 0.013221381830576126 0.006882227072005326 0.006704626482645726 
130.0 0.0069854595 0.007907012201367497 0.038529501841001894 0.006314024982182955 0.007644395976521729 0.013333924778405818 0.006973535486145997 0.006792346971378233 
131.0 0.0069930135 0.007948983696349781 0.03882588261630662 0.006411537423499908 0.007739475724052297 0.013446700582258114 0.007065508843946647 0.0068809406444993665 
132.0 0.0070867165 0.007991177981729526 0.03912226339161135 0.006509797086585502 0.007835139302929771 0.013559711033333186 0.007158147145407274 0.006970414218812013 
133.0 0.007517739 0.008033596240108423 0.03941864416691608 0.006608803971439738 0.007931387372736126 0.013672957922831214 0.0072514503905278796 0.007060774411119051 
134.0 0.007220674 0.008076239660365584 0.03971502494222081 0.0067085580780626135 0.008028220593053338 0.013786443041952376 0.007345418579308462 0.007152027938223366 
135.0 0.007315881 0.008119109437690848 0.04001140571752554 0.00680905940645413 0.008125639623463386 0.013900168181896846 0.007440051711749023 0.00724418151692784 
136.0 0.007434937500000001 0.008162206773618284 0.04030778649283027 0.006910307956614289 0.008223645123548241 0.014014135133864798 0.007535349787849562 0.007337241864035354 
137.0 0.00748128 0.008205532876059867 0.040604167268135 0.007012303728543087 0.008322237752889882 0.014128345689056411 0.007631312807610078 0.007431215696348794 
138.0 0.007616016 0.008249088959339332 0.040900548043439726 0.007115046722240528 0.008421418171070285 0.014242801638671867 0.007727940771030572 0.007526109730671041 
139.0 0.0076643475 0.008292876244226213 0.041196928818744455 0.007218536937706609 0.008521187037671421 0.014357504773911334 0.007825233678111044 0.007621930683804979 
140.0 0.008110834 0.008336895957970054 0.04149330959404918 0.007322774374941331 0.008621545012275274 0.014472456885974993 0.007923191528851493 0.007718685272553489 
141.0 0.007926974 0.008381149334334804 0.04178969036935391 0.007427759033944694 0.008722492754463813 0.014587659766063021 0.00802181432325192 0.007816380213719455 
142.0 0.008041717 0.008425637613633396 0.04208607114465864 0.0075334909147166985 0.008824030923819018 0.014703115205375594 0.008121102061312327 0.007915022224105759 
143.0 0.0079991245 0.008470362042762518 0.04238245191996337 0.007639970017257344 0.008926160179922862 0.01481882499511289 0.00822105474303271 0.008014618020515283 
144.0 0.008085292 0.008515323875237553 0.0426788326952681 0.00774719634156663 0.009028881182357323 0.014934790926475084 0.00832167236841307 0.008115174319750916 
145.0 0.008217786 0.008560524371227715 0.04297521347057282 0.007855169887644557 0.009132194590704378 0.015051014790662355 0.008422954937453408 0.008216697838615533 
146.0 0.008290101 0.008605964797591362 0.04327159424587756 0.007963890655491126 0.009236101064545999 0.015167498378874879 0.008524902450153724 0.008319195293912021 
147.0 0.008804741500000001 0.00865164642791152 0.04356797502118229 0.008073358645106336 0.009340601263464166 0.01528424348231283 0.008627514906514021 0.00842267340244326 
148.0 0.008514844 0.00869757054253155 0.043864355796487016 0.008183573856490186 0.009445695847040853 0.015401251892176391 0.008730792306534294 0.008527138881012133 
149.0 0.008567982 0.008743738428591063 0.044160736571791745 0.008294536289642676 0.009551385474858034 0.015518525399665735 0.008834734650214542 0.008632598446421526 
150.0 0.008655061 0.008790151380061981 0.044457117347096474 0.00840624594456381 0.009657670806497686 0.015636065795981043 0.008939341937554768 0.00873905881547432 
151.0 0.008722279000000001 0.0088368106977848 0.0447534981224012 0.008518702821253584 0.00976455250154179 0.015753874872322483 0.009044614168554975 0.008846526704973398 
152.0 0.0089047325 0.008883717689505053 0.04504987889770593 0.008631906919711997 0.009872031219572313 0.015871954419890245 0.00915055134321516 0.00895500883172164 
153.0 0.009153818499999999 0.008930873669909963 0.045346259673010654 0.008745858239939053 0.009980107620171237 0.015990306229884496 0.009257153461535321 0.009064511912521934 
154.0 0.0094385775 0.008978279960665306 0.04564264044831539 0.00886055678193475 0.010088782362920537 0.016108932093505418 0.00936442052351546 0.009175042664177159 
155.0 0.00915883 0.009025937890452418 0.04593902122362012 0.008976002545699089 0.010198056107402188 0.016227833801953192 0.009472352529155575 0.009286607803490199 
156.0 0.009216685 0.00907384879500547 0.04623540199892484 0.009092195531232066 0.010307929513198167 0.01634701314642799 0.009580949478455673 0.009399214047263937 
157.0 0.0093343305 0.009122014017148888 0.04653178277422958 0.009209135738533686 0.010418403239890447 0.016466471918129985 0.009690211371415746 0.009512868112301256 
158.0 0.009443382 0.009170434906834992 0.0468281635495343 0.009326823167603948 0.010529477947061008 0.016586211908259364 0.009800138208035793 0.009627576715405038 
159.0 0.009495163 0.009219112821181834 0.047124544324839035 0.009445257818442849 0.010641154294291822 0.016706234908016298 0.009910729988315822 0.009743346573378166 
160.0 0.010364972 0.009268049124511232 0.047420925100143764 0.009564439691050391 0.010753432941164867 0.01682654270860097 0.010021986712255827 0.009860184403023522 
161.0 0.009723549 0.009317245188387004 0.047717305875448486 0.009684368785426577 0.01086631454726212 0.016947137101213552 0.01013390837985581 0.00997809692114399 
162.0 0.009880268499999999 0.009366702391653424 0.04801368665075322 0.0098050451015714 0.010979799772165554 0.017068019877054225 0.010246494991115775 0.010097090844542453 
163.0 0.009928953 0.009416422120473856 0.04831006742605795 0.009926468639484867 0.011093889275457148 0.017189192827323167 0.010359746546035713 0.010217172890021794 
164.0 0.010003508500000001 0.009466405768369605 0.04860644820136268 0.010048639399166974 0.011208583716718875 0.017310657743220555 0.01047366304461563 0.010338349774384893 
165.0 0.010122852 0.009516654736258979 0.04890282897666741 0.010171557380617723 0.011323883755532714 0.017432416415946565 0.010588244486855527 0.010460628214434638 
166.0 0.010250514 0.009567170432496547 0.04919920975197213 0.01029522258383711 0.01143979005148064 0.017554470636701378 0.010703490872755399 0.010584014926973905 
