n,gen,seq,prom
249,0.0011719915,0.0235024595,0.010275386
250,0.0011779715,0.0236242,0.0103622945
251,0.001174944,0.0238086675,0.0104545065
252,0.0011856555,0.023997792,0.0105337305
253,0.0011849385,0.024107281,0.0106284945
254,0.001195976,0.024361178,0.010677106
255,0.0011954435,0.024463381,0.0107862605
256,0.0012009775,0.0246103535,0.010902221
257,0.001210852,0.0247754665,0.0109656895
258,0.0012131055,0.024988847,0.011034103
259,0.001213355,0.0251458565,0.0111177895
260,0.0012198225,0.0252546415,0.0112097905
261,0.0012274765,0.0253926435,0.011281863
262,0.0012287745,0.025632915,0.0113794375
263,0.001233135,0.0257377595,0.0114849025
264,0.0012349905,0.025916206,0.0115571455
265,0.0012433745,0.0260546725,0.011651677
266,0.0012492505,0.0262011895,0.0117091685
267,0.001250416,0.0263580535,0.011795874
268,0.0012587225,0.0265611435,0.011914314
269,0.001263032,0.0267216895,0.011979758
270,0.001266941,0.0268504365,0.012059634
271,0.0012717855,0.027053301,0.012163616
272,0.0012764815,0.027203816,0.0122598945
273,0.0012813095,0.027410594,0.012318495
274,0.0012911315,0.027525927,0.012414794
275,0.0012963375,0.027721815,0.012519416
276,0.001301342,0.0278511325,0.0126323
277,0.001295834,0.028024327,0.0126924245
278,0.001304111,0.028186445,0.0127904635
279,0.001308604,0.0283858215,0.0129095875
280,0.0013116115,0.028512492,0.0129665765
281,0.0013189005,0.028732109,0.01308174
282,0.001327332,0.0288669655,0.013161104
283,0.0013277755,0.029096316,0.0132500475
284,0.001328371,0.029208087,0.0133523025
285,0.0013361865,0.0293933615,0.0134273955
286,0.0013386465,0.0295782085,0.0135654145
287,0.001348151,0.0298293595,0.0136886865
288,0.0013524175,0.029896017,0.013723725
289,0.001356704,0.030109501,0.0138333015
290,0.0013595175,0.030237332,0.0139144205
291,0.0013659915,0.030461619,0.014015016
292,0.001367917,0.030638702,0.014125131
293,0.001373849,0.0307552125,0.01419008
294,0.0013811955,0.030963496,0.0142955635
295,0.001378508,0.031101933,0.0144162145
296,0.0013836,0.031351084,0.0144925575
297,0.0013969265,0.03155292,0.0145918185
298,0.0014155345,0.0316586005,0.014721447
299,0.001404971,0.0318331585,0.0148185565
300,0.001412111,0.0320155045,0.0148852425
301,0.0014151405,0.032190435,0.0150529785
302,0.001418602,0.0323522235,0.0150890105
303,0.001420221,0.032626649,0.0151974525
304,0.001428855,0.0327348725,0.015284199
305,0.001435996,0.0329108765,0.0154205435
306,0.0014349595,0.0330921585,0.0155117805
307,0.0014379605,0.0332781695,0.015619617
308,0.001442497,0.0334148065,0.0157320225
309,0.0014518325,0.0335961485,0.015771419
310,0.0014535095,0.0338374775,0.0159119635
311,0.001461214,0.033970652,0.016030054
312,0.001468672,0.034147848,0.016105694
313,0.001463351,0.0343990775,0.016229816
314,0.0014735145,0.0345271425,0.0163069305
315,0.0014815725,0.034678843,0.016423598
316,0.0014812515,0.0348987225,0.016538046
317,0.0014889995,0.035059831,0.0166007625
318,0.001485641,0.03532707,0.016733557
319,0.0014972435,0.0354935355,0.016838964
320,0.0014977865,0.0356032525,0.01695448
321,0.001512426,0.0358738545,0.0170755075
322,0.001510018,0.0360034385,0.01716394
323,0.001514736,0.036297643,0.0172844935
324,0.0015230155,0.0363900725,0.017388981
325,0.0015231605,0.0365882995,0.017520034
326,0.0015225365,0.0367076085,0.0175958655
327,0.0015333735,0.0369758355,0.01773485
328,0.0015429625,0.037132637,0.0178057035
329,0.0015422545,0.0373874845,0.0179786065
